"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"29","Who's Your Caddy?","2007","PG-13","27 Jul 2007","93 min","Comedy, Sport","Don Michael Paul","Don Michael Paul, Bradley Allenstein, Robert Henny","Mick Partridge, Big Boi, Faizon Love, Sherri Shepherd","When a rap mogul from Atlanta tries to join a conservative country club in the Carolinas he runs into fierce opposition from the board President- but it's nothing that he and his entourage can't handle.","English","USA","1 win & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MDQwMTYxNF5BMl5BanBnXkFtZTcwMTAwOTM1MQ@@._V1_SX300.jpg","Internet Movie Database","2.1/10","18","2.1","13,975","tt0785077","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/whos_your_caddy/","27 Nov 2007","$5,501,498","Dimension Films","http://www.whosyourcaddythemovie.com/","True"
"30","Humshakals","2014","N/A","20 Jun 2014","159 min","Comedy","Sajid Khan","Sajid Khan (story and dialogue), Robin Bhatt (screenplay), Sajid Khan (screenplay), Akarsh Khurana (screenplay), Adhir Bhat (additional dialogue)","Saif Ali Khan, Riteish Deshmukh, Ram Kapoor, Bipasha Basu","A comedy centered around three people who each have a lookalike of a lookalike, all with the same name.","Hindi","India","5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MTI3NDcxMV5BMl5BanBnXkFtZTgwMDIyNTE4MTE@._V1_SX300.jpg","Internet Movie Database","1.8/10","N/A","1.8","6,263","tt3036740","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/humshakals/","N/A","$129,181","FIP","http://www.facebook.com/humshakals","True"
"31","Hobgoblins","1988","R","14 Jul 1988","88 min","Comedy, Horror, Sci-Fi","Rick Sloane","Rick Sloane","Tom Bartlett, Paige Sullivan, Steven Boggs, Kelley Palmer","A young security guard must track down diminutive aliens who kill people even as they make their fantasies come true.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDYxMTY3N15BMl5BanBnXkFtZTgwNjAxMzkwMzE@._V1_SX300.jpg","Internet Movie Database","2.3/10","N/A","2.3","8,710","tt0089280","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/hobgoblins/","06 Dec 2005","N/A","All Channel Films","N/A","True"
"32","Glitter","2001","PG-13","21 Sep 2001","104 min","Drama, Music, Romance","Vondie Curtis-Hall","Cheryl L. West (story), Kate Lanier (screenplay)","Mariah Carey, Max Beesley, Da Brat, Tia Texada","A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.","English","USA","3 wins & 10 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMGJkN2IxNTYtZDE1OS00MWJhLWFhNzItNTZkMjM4OGUzMTE2L2ltYWdlXkEyXkFqcGdeQXVyNTg3MTc4ODY@._V1_SX300.jpg","Internet Movie Database","2.2/10","14","2.2","19,905","tt0118589","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/glitter/","15 Jan 2002","$3,865,759","20th Century Fox","http://216.133.243.94","True"
"33","The Beast of Yucca Flats","1961","UNRATED","02 May 1961","54 min","Horror, Sci-Fi","Coleman Francis","Coleman Francis","Douglas Mellor, Barbara Francis, Bing Stafford, Larry Aten","A defecting Soviet scientist is hit by a nuclear explosion near Yucca Flats and roams around as a beast.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNmY5MGRkZjQtMGUxNC00ODc0LWFlZTQtMDIyN2YxMjQ1YjJhXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","Internet Movie Database","2.4/10","N/A","2.4","6,697","tt0054673","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/beast_of_yucca_flats/","05 Sep 2000","N/A","Crown International Pictures","N/A","True"
"34","Son of the Mask","2005","PG","18 Feb 2005","94 min","Comedy, Family, Fantasy","Lawrence Guterman","Lance Khazei","Jamie Kennedy, Alan Cumming, Liam Falconer, Ryan Falconer","Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.","English","USA, Germany","7 wins & 12 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3Mjg5NjI3OV5BMl5BanBnXkFtZTcwNDkwODcyMQ@@._V1_SX300.jpg","Internet Movie Database","2.2/10","20","2.2","43,443","tt0362165","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/son_of_the_mask/","17 May 2005","$16,967,576","New Line Cinema","http://www.sonofthemask.com/","True"
"35","Crossover","2006","PG-13","01 Sep 2006","95 min","Action, Sport","Preston A. Whitmore II","Preston A. Whitmore II","Anthony Mackie, Wesley Jonathan, Eva Marcille, Wayne Brady","A naturally talented basketball player, Noah Cruise is determined to become a doctor using his basketball scholarship to UCLA pre-med, rather than succumb to the lure of former sports agent...","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NDg4MjUyMV5BMl5BanBnXkFtZTcwNzIzNTQzMQ@@._V1_SX300.jpg","Internet Movie Database","2.1/10","30","2.1","8,778","tt0473024","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/crossover/","20 Feb 2007","$7,009,668","Sony Pictures Entertainment","http://www.sony.com/crossover","True"
"36","Space Mutiny","1988","R","01 Aug 1988","91 min","Action, Adventure, Romance","David Winters, Neal Sundstrom","Maria Dante","Reb Brown, John Phillip Law, James Ryan, Cameron Mitchell","A pilot is the only hope to stop the mutiny of a spacecraft by its security crew, who plot to sell the crew of the ship into slavery.","English","South Africa, USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYjFmZjBkMTQtYjE4YS00Y2FmLWFhZDQtNjY4YmZmMjE5MGY1XkEyXkFqcGdeQXVyMTA0MDM0ODY@._V1_SX300.jpg","Internet Movie Database","2.0/10","N/A","2.0","5,856","tt0096149","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/mutiny_1999/","04 Sep 2007","N/A","Trimark","N/A","True"
"37","Night Train to Mundo Fine","1966","N/A","01 Nov 1966","89 min","Action, Adventure, Thriller","Coleman Francis","Coleman Francis","Coleman Francis, Anthony Cardoza, Harold Saunders, John Carradine","Escaped convict Griffin and his friends ran all the way to Hell...with a penny, and a broken cigarette.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MjA0MDYyOF5BMl5BanBnXkFtZTcwMDY4NjMyMQ@@._V1_SX300.jpg","Internet Movie Database","2.6/10","N/A","2.6","5,874","tt0060753","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/night_train_to_mundo_fine_1966/","N/A","N/A","Hollywood Star Pictures","N/A","True"
"38","Extra Terrestrial Visitors","1983","N/A","13 Dec 1983","80 min","Sci-Fi","Juan Piquer Simón","Joaquín Grau, Juan Piquer Simón","Ian Sera, Nina Ferrer, Susana Bequer, Sara Palmer","A young boy in the woods discovers a lovable alien...or is it?","French, Spanish","Spain","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMDM0MzE0Ml5BMl5BanBnXkFtZTcwNTM1NzkyMQ@@._V1_SX300.jpg","Internet Movie Database","2.1/10","N/A","2.1","3,917","tt0086026","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/los_nuevos_extraterrestres_1983/","N/A","N/A","Aries Cinematográfica Argentina","N/A","True"
"39","Dracula 3000","2004","R","09 Aug 2004","86 min","Horror, Sci-Fi","Darrell Roodt","Ivan Milborrow, Darrell Roodt","Casper Van Dien, Erika Eleniak, Coolio, Alexandra Kamp","Count Dracula terrorizes the crew of a spaceship.","English","Germany, South Africa","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxMmE4MDgtMDc5YS00N2YxLThhYzQtMDRmMmJlYjViYWVkXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","Internet Movie Database","2.0/10","N/A","2.0","5,206","tt0367677","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/dracula_3000/","07 Dec 2004","N/A","LionsGate Entertainment","N/A","True"
"40","The Wild World of Batwoman","1966","N/A","N/A","70 min","Action, Comedy, Adventure","Jerry Warren","Jerry Warren (original screenplay)","Katherine Victor, George Mitchell, Steve Brodie, Richard Banks","The pointlessly named Batwoman and her bevy of Batmaidens fight evil and dance.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwOTk4ODM0M15BMl5BanBnXkFtZTYwNzcyOTg4._V1_SX300.jpg","Internet Movie Database","2.1/10","N/A","2.1","3,923","tt0061191","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/wild_wild_world_of_batwoman/","10 Dec 2013","N/A","VCI Entertainment","http://www.vcientertainment.com/Film-Categories/JERRY-WARREN-COLLECTION-1","True"
"41","Surf School","2006","R","01 Sep 2006","87 min","Comedy, Sport","Joel Silverman","Joel Silverman","Corey Sevier, Laura Bell Bundy, Sisqó, Lee Norris","A rag-tag bunch of seniors, complete outsiders at their surf-crazed Laguna Beach High School, decide to crash the biggest team surf contest. In order to prevail, however, they must do one ...","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1OTExNjQ1Ml5BMl5BanBnXkFtZTcwNDM2NTMzMQ@@._V1_SX300.jpg","Internet Movie Database","2.1/10","N/A","2.1","4,623","tt0456014","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/1177842-1177842-surf_school/","17 Jul 2007","N/A","LionsGate Entertainment","http://www.surfschoolmovie.com","True"
"42","Epic Movie","2007","PG-13","26 Jan 2007","86 min","Adventure, Comedy","Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer","Kal Penn, Adam Campbell, Jennifer Coolidge, Jayma Mays","A comedic satire of films that are large in scope, reputation and popularity.","English","USA","2 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3NDM5ODU3NzleQTJeQWpwZ15BbWU3MDgyMjgyNDE@._V1_SX300.jpg","Internet Movie Database","2.3/10","17","2.3","92,620","tt0799949","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/epic_movie/","22 May 2007","$39,666,075","20th Century Fox","http://www.myspace.com/EpicMovie","True"
"43","Alone in the Dark","2005","R","28 Jan 2005","96 min","Action, Fantasy, Horror","Uwe Boll","Elan Mastai, Michael Roesch, Peter Scheerer","Christian Slater, Tara Reid, Stephen Dorff, Frank C. Turner","Based on the video game, Alone in the Dark focuses on Edward Carnby, a detective of the paranormal, who slowly unravels mysterious events with deadly results.","English","Canada, Germany, USA","5 wins & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNWY1YmM0YWEtMzNhZi00MjNiLWI1YTctYTg0ZWEyYzE3OTllXkEyXkFqcGdeQXVyNzI1MDI1NDU@._V1_SX300.jpg","Internet Movie Database","2.3/10","9","2.3","38,560","tt0369226","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/alone_in_the_dark/","10 May 2005","$5,132,655","Lions Gate","http://www.aloneinthedarkthemovie.com","True"
"44","The Starfighters","1964","N/A","25 Mar 1964","78 min","Drama","Will Zens","Will Zens","Robert Dornan, Richard Jordahl, Shirley Olmstead, Richard Masters","A young Air Force lieutenant falls in love with fighter planes while his father, a Congressman and war hero, yearns for him to fly heavy bombers.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BOTM5MzMzZmYtYWU5NS00MGE5LTg0ZTItYTI4NmIzMGJjYWZkXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_SX300.jpg","Internet Movie Database","2.3/10","N/A","2.3","3,072","tt0058615","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/the_starfighters/","04 Jul 1987","N/A","Riviera Films","N/A","True"
"45","Leonard Part 6","1987","PG","18 Dec 1987","85 min","Action, Comedy, Sci-Fi","Paul Weiland","Jonathan Reynolds (screenplay), Bill Cosby (story)","Bill Cosby, Tom Courtenay, Joe Don Baker, Moses Gunn","A secret agent is called out of retirement to save the world from an evil genius.","English","USA","3 wins & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNzNjMzM0YTAtNDE0MS00OGJlLTlkN2QtMzJkYjhjNTYyNTkzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","Internet Movie Database","2.2/10","N/A","2.2","7,295","tt0093405","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/leonard-part-6/","26 Apr 2005","N/A","Sony Pictures Home Entertainment","N/A","True"
"46","Final Justice","1985","R","01 May 1985","90 min","Action, Crime, Drama","Greydon Clark","Greydon Clark","Joe Don Baker, Rossano Brazzi, Venantino Venantini, Patrizia Pellegrino","Homicidal Sheriff Thomas Jefferson Geronimo is tasked with escorting a mobster to Malta; when the prisoner escapes, Geronimo goes rogue to catch him.","English","USA, Italy","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMzcwOTQzMjcwMl5BMl5BanBnXkFtZTcwNzg2NjYxMQ@@._V1_SX300.jpg","Internet Movie Database","2.0/10","N/A","2.0","2,763","tt0087258","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/final_justice_1985/","24 Nov 1998","N/A","Arista Films","N/A","True"
"47","Eegah","1962","UNRATED","01 Apr 1965","90 min","Comedy","Arch Hall Sr.","Bob Wehling (screenplay), Arch Hall Sr. (original story)","Arch Hall Jr., Marilyn Manning, Richard Kiel, Arch Hall Sr.","Teenagers stumble across a prehistoric caveman, who goes on a rampage.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BODBiNjNmN2EtODFmNS00ZWEwLTliOTktYWRlOTc0MWQ3NzQxXkEyXkFqcGdeQXVyNTc4Njg5MjA@._V1_SX300.jpg","Internet Movie Database","2.2/10","N/A","2.2","4,795","tt0055946","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/eegah/","22 Oct 2002","N/A","Rhino Home Video","N/A","True"
"48","Die Hard Dracula","1998","N/A","N/A","88 min","Comedy, Horror","Peter Horak","Peter Horak","Bruce Glover, Denny Sachen, Kerry Dustin, Ernest M. Garcia","A modern-day updating of the Dracula legend that finds Steven, a good-looking American hero devastated by the death of his girlfriend, wandering through Europe and looking for happiness. A ...","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNTQwNDQ4MF5BMl5BanBnXkFtZTcwMDY2NjUyMQ@@._V1_SX300.jpg","Internet Movie Database","2.0/10","N/A","2.0","3,098","tt0162930","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/die_hard_dracula/","19 Oct 1999","N/A","N/A","N/A","True"
"49","The Class","2007","N/A","26 Jan 2007","100 min","Comedy","Faruk Aksoy","Safak Güçlü, Irfan Saruhan (script writer)","Alp Kirsan, Yagmur Atacan, Tuba Ünsal, Simge Tertemiz","Class of teenage students attempting to save their unconventional school from closure, which was one of the highest-grossing Turkish films of 2007.","Turkish","Turkey","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjUyNjE2ZmUtODZkMS00YjQ4LTllMGEtZGUxZjI5ZjJhYjAwXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg","Internet Movie Database","2.0/10","N/A","2.0","2,909","tt0929809","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/cilgin_dersane/","N/A","N/A","Tiglon","N/A","True"
"50","United Passions","2014","NOT RATED","19 Jun 2014","110 min","Drama, History, Sport","Frédéric Auburtin","Frédéric Auburtin, Jean-Paul Delfino","Tim Roth, Sam Neill, Fisher Stevens, Gérard Depardieu","Follows the passing of the FIFA baton through three association presidents: Jules Rimet, Joao Havelange, and Sepp Blatter.","English","France","1 win.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjU5ODY4NDM5Ml5BMl5BanBnXkFtZTgwNTk3OTM4NTE@._V1_SX300.jpg","Internet Movie Database","2.1/10","1","2.1","3,454","tt2814362","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/united_passions/","14 Sep 2015","$900","Screen Media Films","https://www.facebook.com/unitedpassions.movie","True"
"51","Gigli","2003","R","01 Aug 2003","121 min","Comedy, Crime, Romance","Martin Brest","Martin Brest","Ben Affleck, Terry Camilleri, David Backus, Lenny Venito","The violent story about how a criminal lesbian, a tough-guy hit-man with a heart of gold, and a mentally challenged man came to be best friends through a hostage.","English","USA","12 wins & 13 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5MTYxMDg5NV5BMl5BanBnXkFtZTYwNjc5MzQ3._V1_SX300.jpg","Internet Movie Database","2.4/10","18","2.4","42,580","tt0299930","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/straight-tripping/","25 Jan 2005","N/A","N/A","N/A","True"
"52","Kyaa Kool Hain Hum 3","2016","N/A","22 Jan 2016","124 min","Comedy","Umesh Ghadge","Mushtaq Sheikh (story and screenplay), Milap Zaveri (dialogue)","Tusshar Kapoor, Aftab Shivdasani, Krishna Abhishek, Mandana Karimi","A porn actor uses his fellow adult movie stars in creating a fake traditional family, in order to impress his girlfriend's conservative father.","Hindi","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y5YzMxYzUtMjA4YS00NWM5LTk5OWItNDZiMDVlYjYxNDBhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","1.8/10","N/A","1.8","3,392","tt5290620","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/kyaa_kool_hain_hum_3/","N/A","N/A","B4U US","N/A","True"
"53","The Pumaman","1980","N/A","14 Feb 1980","90 min","Action, Adventure, Fantasy","Alberto De Martino","Massimo De Rita (screenplay), Luigi Angelo (collaboration on screenplay), Alberto De Martino (story)","Walter George Alton, Donald Pleasence, Miguel Ángel Fuentes, Sydne Rome","Low-budget film about a young man given a mystical medallion by an Aztec shaman, in order to become a puma-empowered champion like his father before him. In trying to initially locate the ...","English","Italy","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BZGE0Zjk2NjQtMDdmOC00ZDZmLTkwZDEtM2ExODA2MzZiMTBlXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_SX300.jpg","Internet Movie Database","2.1/10","N/A","2.1","3,628","tt0081693","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"54","Battlefield Earth","2000","PG-13","12 May 2000","118 min","Action, Adventure, Sci-Fi","Roger Christian","Corey Mandell (screenplay), J.D. Shapiro (screenplay), L. Ron Hubbard (novel)","John Travolta, Barry Pepper, Forest Whitaker, Kim Coates","After enslavement and near extermination by an alien race in the year 3000, humanity begins to fight back.","English","USA","17 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0Njk2OTM3OF5BMl5BanBnXkFtZTYwNTAyMzc3._V1_SX300.jpg","Internet Movie Database","2.4/10","9","2.4","67,543","tt0185183","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/battlefield_earth/","16 Jan 2001","N/A","Warner Bros. Pictures","http://www.battlefieldearth.net","True"
"55","Too Beautiful","2005","N/A","22 Apr 2005","97 min","Comedy","Ugo Fabrizio Giordani","Maurizio Costanzo (screenplay), Stefano Sudriè (screenplay)","Costantino Vitagliano, Daniele Interrante, Jennifer Poli, Alessandra Pierelli","Costantino and Daniele are two friends which have very success with girls. Their wish is to work in the show business and they can achieve their goal when meet Valeria, top model and ...","Italian","Italy","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNTRmMWZhNDYtNjNjMy00YzA5LTgwZmItZjM4NGQwY2Q2OTViXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_SX300.jpg","Internet Movie Database","2.9/10","N/A","2.9","4,467","tt0469849","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"56","Smolensk","2016","N/A","09 Sep 2016","120 min","Drama, Thriller","Antoni Krauze","Antoni Krauze, Tomasz Lysiak, Maciej Pawlicki, Marcin Wolski","Beata Fido, Maciej Póltorak, Aldona Struzik, Lech Lotocki","Inspired by true events of 2010 Polish Air Force Tu-154 crash in Smolensk, the film tells the fictional story of crash and various people affected by the tragedy. The protagonist is a ...","Polish, English","Poland","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYWYwZTM5ZmQtMDZjMS00N2VkLWEwZDAtMGMzMTM0MWQ3YmU5XkEyXkFqcGdeQXVyMjAwNzM1Mjc@._V1_SX300.jpg","Internet Movie Database","1.2/10","N/A","1.2","6,560","tt6038600","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/smolensk","N/A","N/A","N/A","N/A","True"
"57","Track of the Moon Beast","1976","PG","01 May 1978","90 min","Horror, Sci-Fi","Richard Ashe","Bill Finger, Charles Sinclair","Chase Cordell, Leigh Drake, Gregorio Sala, Patrick Wright","A young man is transformed into a hideous ""moon beast"" due to a meteor fragment lodged in his body.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BY2U2YmZiMmEtYTY1Yi00ODk1LWIzZDMtZTVmMTkyM2ZhMmI2L2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg","Internet Movie Database","2.2/10","N/A","2.2","3,029","tt0075343","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/track-of-the-moon-beast/","15 Jan 2008","N/A","N/A","N/A","True"
"58","Anne B. Real","2003","PG-13","14 Jun 2003","91 min","Drama","Lisa France","Antonio Macia (story), Antonio Macia (screenplay), Lisa France (screenplay), Luis Moro (screen story)","Carlos Leon, Eric Smith, Jacquelyn Morgan, Sherri Saum","ANNE B. REAL is the coming of age story of a young female rapper, who finds her inspiration by reading the Diary of Anne Frank.","English","USA","4 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BODcwMjI4NjAxOV5BMl5BanBnXkFtZTYwNDY3MTg5._V1_SX300.jpg","Internet Movie Database","2.1/10","N/A","2.1","3,559","tt0315775","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/anne_b_real/","04 Nov 2003","N/A","N/A","N/A","True"
"59","Invasion of the Neptune Men","1961","N/A","19 Jul 1961","74 min","Sci-Fi","Kôji Ohta","Shin Morita, Akihiro Watanabe (story)","Shin'ichi Chiba, Ryûko Minakami, Mitsue Komiya, Seiichirô Kameishi","Clumsy invaders from Neptune are thwarted by hero Space Chief and a nondescript group of microshort-wearing Japanese kids.","Japanese","Japan","N/A","http://ia.media-imdb.com/images/M/MV5BMTM3NzU0NTA1M15BMl5BanBnXkFtZTcwNDE0NTYzMQ@@._V1_SX300.jpg","Internet Movie Database","1.9/10","N/A","1.9","2,102","tt0055562","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/uchu-kaisokusen-invasion-of-the-neptune-men-invasion-from-a-planet/","03 Oct 2006","N/A","Image Entertainment","N/A","True"
"60","The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?","1964","NOT RATED","10 Feb 1964","82 min","Horror","Ray Dennis Steckler","Gene Pollock (screenplay), Robert Silliphant (screenplay), E.M. Kevke (original story)","Ray Dennis Steckler, Brett O'Hara, Atlas King, Sharon Walsh","Jerry falls in love with a stripper he meets at a carnival. Little does he know that she is the sister of a gypsy fortune teller whose predictions he had scoffed at earlier. The gypsy turns him into a zombie and he goes on a killing spree.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNWIyMDk3NDEtYjI3Yy00ZGJlLWE5ZGItYjAxOTMwNTgxOWMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","2.2/10","N/A","2.2","4,184","tt0057181","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/the_incredibly_strange_creatures/","28 Sep 2004","N/A","Fairway International","N/A","True"
"61","Zaat","1971","PG","01 Jan 1971","100 min","Horror, Sci-Fi","Don Barton, Arnold Stevens","Ron Kivett (story), Lee O. Larew (story), Don Barton (screenplay)","Marshall Grauer, Wade Popwell, Paul Galloway, Gerald Cruse","A mad scientist transforms himself into an aquatic killer.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjZhMTZjNDgtZmVhMy00ZGNkLWEzN2MtYmU0NmEyYjNkZDhjXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_SX300.jpg","Internet Movie Database","2.5/10","N/A","2.5","4,177","tt0072666","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/zaat-dr-z/","N/A","N/A","N/A","N/A","True"
"62","The Skydivers","1963","N/A","13 Nov 1963","75 min","Drama, Sport","Coleman Francis","Coleman Francis","Kevin Casey, Eric Tomlin, Anthony Cardoza, Marcia Knight","A woman seeks revenge on her former lover, who owns a skydiving business.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BNTM3NzE1MzUtYmZlOC00NmU4LWE1ODktYThkYjBmOTI4ZDIxXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg","Internet Movie Database","3.0/10","N/A","3.0","4,389","tt0057507","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/the_skydivers/","N/A","N/A","Crown International Pictures","N/A","True"
